[ERROR]: Aug-20-2022 13:50:44: 	notNull Violation: house.coverImage cannot be null
[INFO]: Aug-20-2022 13:51:04: 	Server running on port 4001
[INFO]: Aug-20-2022 13:51:33: 	Server running on port 4001
[ERROR]: Aug-20-2022 13:51:38: 	notNull Violation: house.coverImage cannot be null
[INFO]: Aug-20-2022 13:52:01: 	Server running on port 4001
[ERROR]: Aug-20-2022 13:52:07: 	notNull Violation: house.coverImage cannot be null
[INFO]: Aug-20-2022 13:52:21: 	Server running on port 4001
[ERROR]: Aug-20-2022 13:52:24: 	notNull Violation: house.coverImage cannot be null
[INFO]: Aug-20-2022 13:52:56: 	Server running on port 4001
[ERROR]: Aug-20-2022 13:53:02: 	notNull Violation: house.coverImage cannot be null
[INFO]: Aug-20-2022 13:53:12: 	Server running on port 4001
[INFO]: Aug-20-2022 13:53:51: 	Server running on port 4001
[ERROR]: Aug-20-2022 13:56:54: 	Auth header is missing
[ERROR]: Aug-20-2022 13:56:55: 	Auth header is missing
[ERROR]: Aug-20-2022 13:56:55: 	Auth header is missing
[ERROR]: Aug-20-2022 13:56:56: 	Auth header is missing
[ERROR]: Aug-20-2022 13:56:57: 	Auth header is missing
[ERROR]: Aug-20-2022 13:57:10: 	Auth header is missing
[ERROR]: Aug-20-2022 13:57:10: 	Auth header is missing
[INFO]: Aug-20-2022 13:57:28: 	Server running on port 4001
[INFO]: Aug-20-2022 13:57:47: 	Server running on port 4001
